# Priors: uniform; runs: 100000; steps: 1000
# Which arm is restricted: randomize
# q: 0.6
index,comp_succ,comp_inc,diss_succ,diss_inc,cond_succ,cond_inc,hybrid_succ,hybrid_inc
363,3,1,5,1,24,3,8,1
364,1,1,13,277,23,5,4,3
365,3,1,4,3,9,1,60,4
366,1,3,1,1,29,5,11,37
367,5,1,31,160,18,3,14,6
368,1,23,15,1,7,1,8,1
369,13,175,4,11,20,1,3,21
370,1,1,1,4,9,1,18,1
371,4,1,30,1,64,1,3,1
372,4,1,1,7,1,1,14,3
373,1,1,1,1,20,3,15,1
374,1,3,1,1,5,1,61,27
375,1,1,3,91,23,1,13,84
376,1,1,19,1,1,1,4,3
377,5,1,1,1,66,29,1,1
378,1,1,126,1,1,97,3,32
379,3,8,1,1,1,1,7,1
380,5,1,15,1,1,3,1,1
381,8,15,1,13,1,3,1,8
382,1,3,3,1,13,1,1,1
383,4,1,7,17,1,1,219,20
384,5,1,1,1,4,1,4,5
385,3,1,11,1,10,1,11,3
386,1,1,27,1,22,1,1,1
387,1,11,13,1,14,1,124,4
388,3,1,1,1,6,1,14,19
389,88,1,1,1,1,1,9,1
390,1,1,1,8,1,1,1,1
391,10,4,1,1,62,1,8,1
392,1,1,5,1,1,3,1,5
393,1,4,17,1,115,3,49,1
394,1,1,3,1,3,1,37,13
395,1,5,1,1,1,1,105,8
396,1,1,1,12,1,1,1,1
397,1,1,17,1,4,1,4,3
398,1,4,1,1,4,1,74,1
399,3,1,63,1,29,86,15,9
400,1,1,1,1,1,1,10,3
401,4,1,21,1,5,29,1,426
402,1,3,1,1,3,832,8,3
403,7,1,5,1,8,1,16,1
404,1,1,8,1,76,1,22,3
405,6,7,1,1,39,1,1,1
406,1,1,28,1,4,1,568,1
407,1,1,1,1,4,1,3,3
408,12,1,11,1,1,1,26,11
409,3,1,1,13,1,3,1,1
410,1,10,12,1,15,1,4,31
411,1,1,1,1,1,17,17,1
412,1,1,1,1,24,1,11,18
413,1,4,1,6,42,1,10,1
414,3,1,1,1,6,1,86,1
415,1,5,8,1,5,1,313,3
416,1,1,55,1,1,3,26,26
417,1,1,39,1,15,1,1,136
418,19,1,88,11,1,4,1,13
419,11,1,8,3,6,1,13,6
420,1,1,69,1,1,1,7,1
421,1,1,34,57,21,1,1,1
422,5,5,1,1,1,7,11,1
423,12,1,14,1,8,3,9,117
424,3,1,9,1,1,1,31,1
425,1,1,1,31,5,1,28,3
426,5,3,1,1,1,1,4,7
427,1,7,4,4,1,237,14,3
428,14,3,1,1,3,1,41,1
429,1,1,1,1,4,1,86,8
430,4,1,8,1,11,1,20,1
431,1,1,1,1,1,3,1,54
432,1,1,1,21,1,1,13,57
433,1,1,1,30,1,1,1,1
434,5,1,6,1,1,1,6,1
435,1,1,4,1,3,4,63,5
436,1,7,1,1,7,1,17,5
437,1,40,15,26,23,1,12,44
438,1,1,492,1,8,3,45,1
439,1,1,1,1,1,1,1,29
440,3,1,7,3,3,1,37,5
441,42,3,138,1,1,1,27,1
442,1,14,1,4,35,1,8,1
443,1,1,38,1,1,1,65,194
444,1,1,4,1,9,1,1,79
445,1,1,33,1,6,1,1,26
446,1,1,1,23,52,5,10,1
447,1,1,1,1,1,1,1,1
448,12,1,81,1,4,1,1,9
449,1,1,1,1,1,17,1,7
450,4,1,8,1,1,84,1,1
451,1,1,3,1,1,1,3,1
452,1,1,5,1,1,1,35,1
453,7,1,13,1,9,1,1,20
454,1,1,27,1,1,1,23,18
455,1,1,1,1,1,1,170,1
456,1,1,33,380,1,1,1,1
457,1,1,1,1,10,9,6,1
458,8,1,14,50,1,1,1,1
459,84,3,1,1,1,1,14,3
460,3,1,46,5,3,3,566,6
461,124,1,1,21,8,1,32,3
462,1,10,1,17,1,1,12,136
463,1,1,230,1,65,1,1,1
464,1,1,1,4,11,1,1,33
465,1,1,7,1,5,1,1,4
466,1,5,12,1,1,1,7,1
467,1,1,1,3,1,1,54,1
468,1,1,1,1,4,1,84,1
469,1,1,3,1,1,1,5,1
470,1,1,5,1,1,1,1,14
471,1,1,36,3,6,1,3,1
472,1,3,1,1,6,1,1,1
473,1,1,8,6,9,1,6,1
474,1,1,16,1,3,1,1,13
475,1,1,1,1,15,1,53,1
476,5,3,3,13,29,5,3,11
477,8,1,10,5,1,11,9,5
478,1,4,42,1,68,135,1,1
479,6,1,29,1,1,1,12,3
480,8,10,1,1,1,80,27,1
481,1,4,6,1,1,1,3,15
482,1,1,1,1,1,10,9,1
483,3,3,9,1,30,1,1,8
484,1,1,1,1,1,1,51,8
485,3,9,1,346,4,1,3,54
486,1,1,13,1,3,1,13,15
487,1,1,5,3,1,9,20,85
488,1,1,1,1,1,6,1,3
489,3,1,26,1,4,5,21,7
490,1,1,13,4,5,5,10,5
491,5,1,1,1,3,1,17,41
492,1,1,10,1,1,1,9,3
493,1,3,1,1,1,1,47,1
494,1,1,4,1,1,7,19,22
495,39,3,27,9,1,1,1,12
496,19,1,1,1,1,7,3,30
497,1,1,1,21,1,4,5,1
498,21,1,13,26,34,1,1,4
499,1,1,9,1,1,5,4,767
500,1,1,1,1,4,1,1,1
501,1,1,44,42,1,1,1,4
502,38,1,1,6,8,1,52,1
503,1,1,23,1,10,9,1,1
504,1,1,3,1,4,118,13,4
505,4,1,1,1,4,1,6,8
506,9,1,23,1,1,1,9,6
507,1,1,3,1,1,3,12,1
508,1,1,5,1,3,1,1,4
509,1,1,8,1,37,1,28,1
510,1,1,3,5,4,11,69,1
511,1,4,3,1,30,1,8,9
512,1,1,49,1,3,1,30,1
513,1,1,1,1,1,1,4,1
514,1,1,1,72,1,1,109,6
515,1,4,4,1,1,1,3,1
516,1,1,1,1,1,3,1,7
517,1,3,1,1,1,3,10,1
518,1,1,1,5,1,1,1,9
519,1,1,1,1,1,33,69,1
520,1,1,50,1,3,4,58,1
521,3,1,32,1,15,1,4,8
522,4,5,4,1,1,3,4,1
523,1,5,8,1,1,1,1,1
524,1,7,50,9,1,1,3,10
525,1,4,9,1,39,1,67,9
526,4,1,7,1,1,1,4,1
527,1,1,1,1,8,10,63,1
528,5,1,1,1,20,1,14,20
529,93,3,1,1,1,1,7,13
530,1,1,1,1,3,1,4,9
531,5,33,1,3,1,1,4,4
532,50,1,8,1,1,1,35,1
533,1,1,14,1,1,3,1,30
534,1,59,12,10,3,1,11,1
535,1,1,8,12,1,1,62,1
536,8,1,47,11,1,1,7,1
537,1,1,1,1,9,1,1,4
538,3,5,42,1,1,1,71,1
539,3,1,38,1,10,1,37,10
540,1,1,5,1,1,1,14,1
541,12,1,1,1,15,1,1,1
542,5,14,1,28,3,1,1,11
543,1,3,14,1,1,1,1,1
544,1,1,8,73,44,51,10,1
545,1,1,4,1,1,1,83,13
546,1,1,1,1,1,1,1,18
547,1,4,14,1,10,1,10,3
548,3,91,6,1,1,5,29,1
549,1,1,49,1,12,20,7,27
550,9,5,1,1,37,1,18,1
551,1,11,1,1,5,1,14,6
552,1,1,8,4,1,3,1,18
553,3,5,1,18,4,1,37,1
554,3,1,11,1,1,1,1,1
555,12,3,10,1,6,1,54,5
556,1,1,1,24,1,4,25,12
557,1,1,1,6,16,1,5,1
558,6,1,6,1,149,1,50,5
559,1,1,1,5,25,1,22,24
560,10,1,48,1,66,11,22,5
561,1,1,8,1,10,1,1,38
562,1,1,51,1,10,3,8,1
563,3,1,1,1,1,1,1,3
564,1,1,25,1,1,1,1,5
565,1,1,1,1,13,7,5,22
566,1,1,1,1,1,1,19,1
567,1,1,5,1,7,1,1,4
568,14,5,11,1,3,1,3,1
569,6,7,4,5,18,1,1,1
570,1,3,26,1,1,1,3,5
571,1,1,5,1,1,1,1,3
572,1,5,3,1,1,1,1,22
573,5,1,23,1,8,1,21,1
574,1,5,41,6,1,1,1,468
575,14,4,1,3,1,1,1,3
576,6,1,1,1,1,1,1,4
577,4,1,3,1,1,4,5,1
578,1,10,41,1,1,1,11,1
579,1,1,31,1,94,1,33,26
580,1,1,6,1,1,3,7,1
581,4,1,11,1,8,1,60,4
582,1,3,1,1,3,1,4,1
583,1,1,4,3,1,1,7,3
584,1,1,1,1,1,1,1,3
585,1,1,1,1,3,1,4,50
586,1,10,1,1,3,1,44,1
587,1,3,10,5,6,1,9,1
588,14,1,15,1,1,1,3,1
589,22,6,37,1,1,1,1,9
590,252,1,9,1,23,3,3,1
591,1,1,3,1,4,7,1,4
592,12,6,9,1,1,1,10,13
593,1,1,25,1,12,7,24,12
594,4,1,4,22,1,1,1,75
595,1,1,1,29,30,3,1,4
596,1,1,1,4,24,4,6,3
597,15,1,1,16,9,297,77,129
598,3,1,3,1,52,1,1,1
599,3,1,203,61,13,1,1,57
600,4,1,1,3,1,1,8,4
601,641,1,3,5,1,1,1,112
602,1,1,12,1,23,1,11,1
603,1,1,13,1,1,1,12,15
604,1,1,1,1,5,4,4,3
605,1,1,11,1,8,1,22,1
606,1,3,3,1,57,71,1,9
607,18,1,1,1,3,1,4,8
608,1,1,4,24,1,1,1,13
609,1,1,1,1,1,3,3,1
610,8,43,33,1,1,1,41,1
611,1,1,3,1,1,1,1,4
612,1,710,1,1,1,1,1,42
613,1,1,21,1,104,1,8,1
614,3,1,1,1,112,1,1,5
615,1,1,28,1,22,1,29,9
